url,locale,routeType,sourceFile,status,indexableExpected,canonical,hreflangOk,htmlLang,title,description,h1,schema,sitemapExpected,sitemapFound,bodyLanguageOk,notes
"/ru","ru","core","app/[locale]/page.tsx","200","true","https://dordoi.help/ru","true","ru","Dordoi.help — оптовая платформа для рынка Дордой | Dordoi.help","Ищите товары, поставщиков и байеров рынка Дордой в одном месте. B2B-инструмент для СНГ.","Поставщики, байеры и карго рынка Дордой в одном каталоге","present","true","true","true",""
"/ru/catalog","ru","core","app/[locale]/catalog/page.tsx","200","true","https://dordoi.help/ru/catalog","true","ru","Каталог поставщиков Дордой — оптовые продавцы, фильтры и поиск | Dordoi.help","Каталог поставщиков рынка Дордой: оптовые продавцы одежды, обуви, сумок и текстиля. Найдите поставщика, байера или карго для закупки товаров из Бишкека.","Каталог оптовых поставщиков рынка Дордой","present","true","true","true",""
"/ru/sell","ru","core","app/[locale]/sell/page.tsx","200","true","https://dordoi.help/ru/sell","true","ru","Продать оптом — Dordoi.help | Dordoi.help","Цифровой профиль и витрина для оптовиков рынка Дордой: заявки от покупателей и контакты без лишних поездок по рядам.","Рынок меняется. Будьте там, где вас ищут.","present","true","true","true",""
"/ru/suppliers","ru","core","app/[locale]/suppliers/page.tsx","200","true","https://dordoi.help/ru/suppliers","true","ru","Поставщики Дордой — оптовые продавцы рынка Дордой | Dordoi.help","Найдите поставщиков рынка Дордой: оптовые продавцы одежды, обуви, сумок и текстиля. Каталог помогает покупателям найти подходящего поставщика, байера или карго.","Поставщики рынка Дордой — оптовые продавцы и контакты","present","true","true","true",""
"/ru/buyers","ru","core","app/[locale]/buyers/page.tsx","200","true","https://dordoi.help/ru/buyers","true","ru","Проверенные байеры рынка Дордой — Dordoi.help | Dordoi.help","Справочник снабженческих агентов: выкуп, фотоотчёт, проверка партии и организация доставки по СНГ.","Найти проверенного байера","present","true","true","true",""
"/ru/buyer-service","ru","core","app/[locale]/buyer-service/page.tsx","200","true","https://dordoi.help/ru/buyer-service","true","ru","Байерам — Dordoi.help | Dordoi.help","Инструменты для байеров: подбор товара, проверка качества, сбор заказов.","Байерам","present","true","true","true",""
"/ru/about","ru","core","app/[locale]/about/page.tsx","200","true","https://dordoi.help/ru/about","true","ru","Что такое Dordoi.help — каталог поставщиков и услуг рынка Дордой | Dordoi.help","Dordoi.help помогает покупателям из СНГ находить поставщиков, байеров, категории товаров и услуги рынка Дордой без раскрытия приватных контактов до доступа.","Dordoi.help — каталог поставщиков, байеров и услуг рынка Дордой","present","true","true","true",""
"/ru/how-it-works","ru","core","app/[locale]/how-it-works/page.tsx","200","true","https://dordoi.help/ru/how-it-works","true","ru","Как работает Dordoi.help — поиск поставщика, байера и карго | Dordoi.help","Пошаговая инструкция: выбрать категорию, посмотреть поставщиков, открыть доступ к контактам, связаться с продавцом или байером и организовать закупку.","Как работает Dordoi.help","present","true","true","true",""
"/ru/for-buyers","ru","core","app/[locale]/for-buyers/page.tsx","200","true","https://dordoi.help/ru/for-buyers","true","ru","Покупателям — как найти поставщиков на рынке Дордой | Dordoi.help","Страница для покупателей: поставщики Дордой, категории, доступ к контактам, байеры, карго и закупка из стран СНГ.","Покупателям: как найти поставщика на Дордое","present","true","true","true",""
"/ru/for-sellers","ru","core","app/[locale]/for-sellers/page.tsx","200","true","https://dordoi.help/ru/for-sellers","true","ru","Продавцам Дордой — размещение в каталоге Dordoi.help | Dordoi.help","Для продавцов и поставщиков рынка Дордой: цифровая витрина, заявки от покупателей из СНГ, категории и безопасная выдача контактов.","Продавцам: зачем размещаться в Dordoi.help","present","true","true","true",""
