path,status,ttf_ms,content_type,bytes,canonical,robots,title,description,h1,html_lang,hreflang,schema_types,og_title,viewport,localhost_leak,privacy_leak,final_url
"/ru",200,516,"text/html",204232,"https://dordoi.help/ru","index, follow","Dordoi.help — оптовая платформа для рынка Дордой | Dordoi.help","Ищите товары, поставщиков и байеров рынка Дордой в одном месте. B2B-инструмент для СНГ.","Поставщики, байеры и карго рынка Дордой в одном каталоге","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction","Dordoi.help — оптовая платформа для рынка Дордой","yes","no","t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot","https://dordoi.help/ru"
"/kk",200,234,"text/html",205761,"https://dordoi.help/kk","index, follow","Dordoi.help — Дордой нарығына арналған көтерме платформа | Dordoi.help","Дордой тауарлары, жеткізушілер мен байерлер бір жерден. ТМД B2B құралы.","Дордой нарығының жеткізушілері, байерлері және каргосы бір каталогта","kk","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction","Dordoi.help — Дордой нарығына арналған көтерме платформа","yes","no","t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot","https://dordoi.help/kk"
"/kg",200,265,"text/html",205946,"https://dordoi.help/kg","index, follow","Dordoi.help — Дордой базары үчүн опт платформасы | Dordoi.help","Товарлар, жеткирүүчүлөр жана байерлер бир жерден. Борбордук Азия B2B.","Дордой базарынын жеткирүүчүлөрү, байерлери жана каргосу бир каталогдо","ky","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction","Dordoi.help — Дордой базары үчүн опт платформасы","yes","no","t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot","https://dordoi.help/kg"
"/uz",200,216,"text/html",209285,"https://dordoi.help/uz","index, follow","Dordoi.help — Dordoy bozori uchun ulgurji platforma | Dordoi.help","Tovarlar, yetkazib beruvchilar va buyerlar bir joyda. MDH B2B vositasi.","Dordoy bozorining yetkazib beruvchilari, buyerlari va kargosi bitta katalogda","uz","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction","Dordoi.help — Dordoy bozori uchun ulgurji platforma","yes","no","t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot","https://dordoi.help/uz"
"/tj",200,218,"text/html",206150,"https://dordoi.help/tj","index, follow","Dordoi.help — платформаи бисёрфурӯшӣ барои бозори Дордой | Dordoi.help","Молҳо, таъминкунандагон ва байерҳо дар як ҷой. Абзори B2B барои ҶОИ.","Таъминкунандагон, байерҳо ва каргои бозори Дордой дар як каталог","tg","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction","Dordoi.help — платформаи бисёрфурӯшӣ барои бозори Дордой","yes","no","t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot; t.me/dordoi_help_admin_bot","https://dordoi.help/tj"
"/ru/catalog",200,231,"text/html",382073,"https://dordoi.help/ru/catalog","index, follow","Каталог поставщиков Дордой — оптовые продавцы, фильтры и поиск | Dordoi.help","Каталог поставщиков рынка Дордой: оптовые продавцы одежды, обуви, сумок и текстиля. Найдите поставщика, байера или карго для закупки товаров из Бишкека.","Каталог оптовых поставщиков рынка Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|CollectionPage","Каталог поставщиков Дордой — оптовые продавцы, фильтры и поиск","yes","no","","https://dordoi.help/ru/catalog"
"/ru/suppliers",200,222,"text/html",133724,"https://dordoi.help/ru/suppliers","index, follow","Поставщики Дордой — оптовые продавцы рынка Дордой | Dordoi.help","Найдите поставщиков рынка Дордой: оптовые продавцы одежды, обуви, сумок и текстиля. Каталог помогает покупателям найти подходящего поставщика, байера или карго.","Поставщики рынка Дордой — оптовые продавцы и контакты","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|CollectionPage","Поставщики Дордой — оптовые продавцы рынка Дордой","yes","no","","https://dordoi.help/ru/suppliers"
"/ru/about",200,201,"text/html",171795,"https://dordoi.help/ru/about","index, follow","Что такое Dordoi.help — каталог поставщиков и услуг рынка Дордой | Dordoi.help","Dordoi.help помогает покупателям из СНГ находить поставщиков, байеров, категории товаров и услуги рынка Дордой без раскрытия приватных контактов до доступа.","Dordoi.help — каталог поставщиков, байеров и услуг рынка Дордой","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|AboutPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Что такое Dordoi.help — каталог поставщиков и услуг рынка Дордой","yes","no","","https://dordoi.help/ru/about"
"/ru/how-it-works",200,217,"text/html",174425,"https://dordoi.help/ru/how-it-works","index, follow","Как работает Dordoi.help — поиск поставщика, байера и карго | Dordoi.help","Пошаговая инструкция: выбрать категорию, посмотреть поставщиков, открыть доступ к контактам, связаться с продавцом или байером и организовать закупку.","Как работает Dordoi.help","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","Как работает Dordoi.help — поиск поставщика, байера и карго","yes","no","","https://dordoi.help/ru/how-it-works"
"/ru/faq",200,210,"text/html",171802,"https://dordoi.help/ru/faq","index, follow","FAQ Dordoi.help — поставщики, контакты, байеры и карго | Dordoi.help","Ответы на частые вопросы о Dordoi.help: как найти поставщика Дордой, открыть контакты, работать с байером, карго и продавцам попасть в каталог.","FAQ по Dordoi.help","ru","ru|kk|ky|uz|tg|x-default","Organization|ImageObject|Country|ContactPoint|WebSite|SearchAction|WebPage|FAQPage|Question|Answer|BreadcrumbList|ListItem","FAQ Dordoi.help — поставщики, контакты, байеры и карго","yes","no","","https://dordoi.help/ru/faq"
